runIndex;gen_nine;maxFit;divX_nine;divSig_nine;totDistSig_nine
1;298;9.999983878650086;2.4316695120952864e-15;2.931492612089833e-18;0.029005877548530568
2;250;9.999986027412994;1.6802088441749984e-15;3.42849105192207e-18;0.044840262466358485
3;-1;9.63146411624675;2.117445704625919e-15;2.4790188674439164e-21;1.415575048308956e-05
