Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;1.1142559236814735E-5;3.048925025650235E-239;1.7543617488444807E-7;4.503470228022263E-16;5.011857728606926E-16;5.004002705971562
1;3.306699498357952E-4;1.7348018465711169E-165;5.324067700367074E-6;4.722612618335434E-16;4.717154594137106E-16;5.101800371756963
2;0.002777546150745677;5.257936417792184E-28;5.0325104180077024E-5;2.100461276228291E-15;4.892930912601472E-16;5.446926880463582
3;0.03606904361766621;8.169680576994915E-22;5.988751642180776E-4;1.4711774716159457E-15;4.031367177163698E-16;5.6467527179410695
4;0.03606904361766621;4.1442558708012487E-13;8.384663080487284E-4;2.0219194451196044E-15;3.1036951852335044E-16;5.528326075437412
5;0.2344904967867377;9.384555040025822E-11;0.0036088069230199634;2.1870751111593918E-15;7.56331236127913E-16;5.569678555316634
6;0.2344904967867377;3.373079893457903E-10;0.00446717973515963;2.85162334552126E-15;5.588518121502739E-16;6.039867929474666
7;0.2344904967867377;3.466432590027438E-7;0.0056608828596631435;2.3482277301732555E-15;5.939342984251984E-16;6.024182628864616
8;0.2344904967867377;3.954168178293258E-6;0.010268523248081286;2.1020471486121653E-15;6.348156449430938E-16;6.174598370205164
9;0.2344904967867377;1.6431971056256905E-5;0.010796693595359818;3.3757106531271425E-15;4.926264587251658E-16;6.217485641330676
10;0.2344904967867377;3.9377820849085805E-5;0.01255825420214564;1.2759075995660217E-15;4.874293181287682E-16;6.32358588368418
11;0.2840452020438771;3.9377820849085805E-5;0.019654806720588773;1.3247510321937388E-15;7.253279666418658E-16;6.122997390230897
12;0.7714794500354891;3.9377820849085805E-5;0.028599940363422532;2.739216980192979E-15;5.483216350551018E-16;5.982744169114077
13;0.7714794500354891;3.0817947500455853E-6;0.04141834586859506;1.5763087098929847E-15;8.404268675263326E-16;6.066438997335089
14;0.7714794500354891;8.209471331439833E-5;0.05342971389949965;1.997909184822718E-15;7.316164405527426E-16;5.785135438797799
15;0.7714794500354891;1.2737632691242542E-4;0.08932075712854744;1.0672569951252524E-15;6.351807537685055E-16;5.4423340394404685
16;0.7714794500354891;1.9351471148060473E-4;0.10563692653862311;2.9462535018050028E-15;9.746277008694671E-16;5.055629930794356
17;0.8073767526358757;4.1022932991999184E-4;0.12715290594158135;1.2389357737968307E-15;6.182477057565173E-16;5.061155469192825
18;1.5704596561533968;0.003764590585984982;0.1863797070273574;2.475727643832752E-15;3.6746193992392024E-16;4.573713030017352
19;1.5704596561533968;0.009589316498612322;0.2588187817967678;2.6271632764306865E-15;4.740847518303885E-16;4.199973442294175
20;1.5704596561533968;0.0021046960515530406;0.3222743195966499;1.8411263951970187E-15;5.532252130637459E-16;3.6948435642812636
21;1.6659552048433661;2.2896897025579516E-4;0.381055471917985;1.6212894393118307E-15;7.041982493656792E-16;3.582882344416059
22;1.6659552048433661;8.465290229050131E-4;0.4472597498409446;2.2702062907127304E-15;3.434578374865188E-16;3.308054503734157
23;1.6659552048433661;0.02123419393468851;0.5082165737537561;2.8203423597812275E-15;4.0218533156289787E-16;2.969102503698827
24;1.6659552048433661;0.0030236655029704028;0.5789032683867584;2.173765366399066E-15;2.2870584044197104E-16;2.8817018411898605
25;3.9121859681430533;0.007913629388706019;0.6747647977783521;2.183560610771777E-15;3.6359402154577134E-16;2.558859687836613
26;3.9121859681430533;0.028587097551583156;0.7769430322593578;2.015076581144461E-15;2.6980089140380165E-16;2.4562286440970205
27;3.9121859681430533;0.028302800157292113;0.8656737608028381;2.188197759249157E-15;1.1012205973387932E-16;2.387524313389742
28;3.9121859681430533;0.1152912939548398;0.9280361838002303;2.496960692685411E-15;1.6976393561746397E-16;2.398162331977582
29;4.418723272471404;0.17985106250291305;1.1047136030601818;2.0091408258350136E-15;2.5438891273036136E-16;2.233684009879046
30;4.418723272471404;0.06024650836492093;1.2444543261234724;2.261910761465995E-15;2.788442595061757E-16;2.225362816538409
31;4.418723272471404;0.21009283318180905;1.3485480075764837;2.040697435306934E-15;1.8955931049681042E-16;2.167068095335593
32;4.418723272471404;0.11583497243176087;1.5711131325284526;1.4725576711290347E-15;1.88262504439026E-16;1.9724578278143647
33;4.418723272471404;0.30019265642924836;1.6588088519153268;1.1263918421602597E-15;1.0879152281204054E-16;1.8745160024505056
34;4.418723272471404;0.3504837713272512;1.8843735420977836;1.5991193212893501E-15;2.639244378215943E-16;1.8405945060516387
