Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;1.581501411552742E-7;9.2904E-319;1.7537934168766007E-9;3.8316730467478126E-16;4.663534731646489E-16;5.038635821248714
1;1.581501411552742E-7;6.67996980707281E-126;1.7541171293500726E-9;5.537108642557087E-16;4.112462255900049E-16;5.068112238381539
2;2.4845220841677085E-5;1.0564755947990655E-93;3.77480327670234E-7;6.476626634212889E-16;3.024741454626092E-16;5.1191026811275275
3;2.4845220841677085E-5;2.940774898838293E-64;3.830294764812776E-7;7.26250505543201E-16;4.200081700259068E-16;5.262233315916588
4;2.392895973649953E-4;4.554856101110127E-40;3.3766849842548955E-6;1.510947867965539E-15;5.612100518912445E-16;5.363122800261572
5;0.007304014034630256;4.252187974528763E-26;7.99895086105843E-5;1.0165346853130998E-15;4.425192856993302E-16;5.4910744261494795
6;0.007304014034630256;3.498122228780516E-21;1.2077344521855003E-4;1.088843554902091E-15;6.944032333941209E-16;5.452786311937529
7;0.028651672372623727;3.6731082085754505E-20;4.7796639098115665E-4;1.396881180110935E-15;5.686276857622861E-16;5.616555284877959
8;0.028651672372623727;4.699979442867724E-17;5.473852747038921E-4;1.3495714179294355E-15;3.1523296489193405E-16;5.661447727416264
9;0.028651672372623727;4.09110958754931E-14;6.348829712076842E-4;1.9792496106202246E-15;3.646841826145962E-16;5.601956630915453
10;0.04097691571539287;1.007810871005637E-9;0.0011354829048237168;1.1521121122429681E-15;3.4984887399471334E-16;5.587126546124439
11;0.04097691571539287;2.938058870329384E-8;0.0012503812482562299;7.928181831256198E-16;6.327918199071432E-16;5.770182045516571
12;0.04097691571539287;9.846224853965066E-8;0.0019795157427809945;1.1418145897199996E-15;4.922299330813538E-16;5.528093482771335
13;0.12325646327135664;2.6972986697446075E-7;0.004302148715133887;2.5644981542109873E-15;6.833185967101935E-16;5.528706144275419
14;0.12325646327135664;1.351686940527991E-9;0.005181925887600123;2.754198173428108E-15;3.8446882681133846E-16;5.411174250585019
15;0.12325646327135664;6.226642787283962E-6;0.006837561891469294;2.5305918626062198E-15;4.763307216335542E-16;5.399375744301744
16;0.30324657692754564;7.684384976619986E-6;0.01197111957999824;2.7466047028255223E-15;4.82524116326699E-16;5.360516630513526
17;0.3970395291441193;8.766396081001855E-5;0.014030958906941797;1.8374778024090333E-15;5.340582430418022E-16;5.414623944870096
18;0.3970395291441193;1.3469545883150038E-4;0.01997913198474064;2.3690351392258336E-15;3.0735637669155783E-16;5.316064690131917
19;0.3970395291441193;1.9830482907567671E-4;0.021091778722040554;1.5414438188029067E-15;3.8791095566136935E-16;5.232647301594274
20;0.3970395291441193;1.462093710582937E-5;0.023798778431663798;1.2820361368074059E-15;3.761178523685038E-16;5.102485823544352
21;0.3970395291441193;4.498500189740545E-5;0.024739195600669048;2.562587387111871E-15;4.887815970272988E-16;4.991715315786355
22;0.3970395291441193;4.9953191031371326E-5;0.030209884801210875;1.1491114014390207E-15;3.543433798856372E-16;4.958238663496759
23;0.3970395291441193;4.9953191031371326E-5;0.029583174372884113;2.1647051550645644E-15;5.44997530845089E-16;4.8594355288277935
24;0.3970395291441193;1.3368634946045822E-7;0.032764745138447994;2.2246201726679444E-15;4.4043857133917725E-16;4.5913601828986055
25;0.3970395291441193;2.20450515386242E-6;0.035205248017583644;1.3568479992919627E-15;3.1700464193796113E-16;4.62848207437526
26;0.520746041455997;2.020437801640329E-4;0.04237469777154624;1.1627470207430679E-15;4.0613625210393825E-16;4.663072807586093
27;1.1102188505638864;8.847442578518673E-4;0.059854620674907544;2.3853701698071463E-15;4.1602191494288297E-16;4.513881725120243
28;1.1102188505638864;8.847442578518673E-4;0.06998259748683164;1.755944684250289E-15;4.463530866015644E-16;4.480314907347442
29;1.1102188505638864;0.0020234619609887216;0.07963844036733563;3.036762782251499E-15;5.393668959811583E-16;4.480619742079874
30;1.1102188505638864;6.504083487112356E-4;0.08019083245666823;2.680445824440826E-15;3.6340285164568393E-16;4.361868429608807
31;1.1102188505638864;3.6330266801733657E-4;0.09043758756024109;1.6178765738285749E-15;3.6367314236239695E-16;4.242348601901874
32;1.1102188505638864;0.0013804714759992108;0.1059794667739936;2.531994258136421E-15;2.4687691291749373E-16;4.153628949985485
33;1.1102188505638864;0.0033650675008547078;0.1276557543638568;1.3818316739767018E-15;3.059691871426439E-16;4.035376275254151
34;1.1102188505638864;0.002639242403275876;0.12773461086862847;1.0000546122452753E-15;3.7597024917977377E-16;4.132504637137944
35;1.4077587574044237;0.002639242403275876;0.1559846239386442;3.3319463718424914E-15;4.773124652012642E-16;4.0379043583978
36;1.4077587574044237;0.00671367508219468;0.16595277435047978;3.286580686026195E-15;2.5790710265693595E-16;3.9891817710431816
37;1.4077587574044237;0.00671367508219468;0.1949811719056862;4.353935464655832E-15;2.1041618849300745E-16;3.9213924468995645
38;1.4077587574044237;0.0110263437255229;0.24588804995819113;2.861947590628614E-15;2.740592901034049E-16;3.9216943740443955
39;1.4077587574044237;0.036068573628040286;0.2776910294164717;2.0077203926396116E-15;2.7194420221697936E-16;3.6403895533384567
40;1.4077587574044237;0.008168873185149491;0.3050072399117717;3.003956187718046E-15;3.526104473379268E-16;3.611257372349364
41;1.4077587574044237;0.008168873185149491;0.3198919086752146;1.761054505585762E-15;2.519252369560446E-16;3.780369131909854
42;1.4077587574044237;0.0447568022982512;0.34265440093793004;2.266060762523982E-15;1.9002376013468148E-16;3.54063632913663
43;1.6757100028944405;0.009421413647036518;0.3740413249353417;1.8933039843251306E-15;3.719502930681993E-16;3.4577941637827627
44;3.0290548780896924;0.03222822460211149;0.4471551638612614;1.4736942517747263E-15;3.184843454638893E-16;3.3444777558130823
45;3.0290548780896924;0.0331939383397972;0.5039480476698812;1.8296249761959063E-15;4.784727360652701E-16;3.1840469280350483
46;3.0290548780896924;0.011787505258850388;0.5381070256105596;8.327280047050683E-16;1.5813153089483415E-16;3.113571356651109
47;3.0290548780896924;0.058626227576276;0.555785978889123;2.403365918441332E-15;1.839778073209288E-16;3.0765393363721083
48;3.0290548780896924;0.08775118491835653;0.5634533240741868;1.5869252967526722E-15;2.0174394597319921E-16;3.0540311168118297
49;3.0290548780896924;0.08775118491835653;0.5932508666702955;2.3630786073821343E-15;3.786088666475049E-16;3.034235067227255
50;3.0290548780896924;0.026300056505611288;0.6002796889395835;1.1064089633472596E-15;2.158758032323669E-16;3.0799292772900464
51;3.0290548780896924;0.06577350381186467;0.6452363606670923;2.322844738397279E-15;4.3676028625582E-16;3.05333146141323
52;3.0290548780896924;0.07521721316607664;0.7549094346637656;2.0890422301648736E-15;2.555487515282774E-16;2.839172375320509
53;3.0290548780896924;0.04837636334661006;0.782798440232805;2.155908471264164E-15;2.5642607080656065E-16;2.8720652363674923
54;3.0290548780896924;0.11572834300402747;0.8450274705808967;1.0802896570607813E-15;1.965113374823748E-16;2.712890013895268
55;3.0290548780896924;0.14172706901638016;0.8833311538166245;9.529478653284289E-16;1.9510812430055236E-16;2.6649062462801663
56;3.0290548780896924;0.18111101581332903;0.9363932550004688;2.207966559753278E-15;2.5880370176838206E-16;2.608650863332237
57;3.0290548780896924;0.1445066453781518;0.9432177409279207;1.8595016034199105E-15;2.376774457919593E-16;2.644833966037626
58;3.0290548780896924;0.07403572520499134;0.9899915358255975;1.7224099495964323E-15;2.748407845799012E-16;2.6054968431199854
59;3.0290548780896924;0.07403572520499134;1.0440413488298819;1.8365811323271994E-15;3.1854738100461993E-16;2.6162983819235253
60;3.0290548780896924;0.12664129189763726;1.1478282551578989;1.8499830518255006E-15;2.0629881219015569E-16;2.548716729803612
61;3.0290548780896924;0.08608393897260724;1.160843429759216;1.182126876764194E-15;2.554895081778027E-16;2.491971756888261
62;3.0290548780896924;0.005271130966966773;1.1951468791885846;2.714508917542727E-15;1.576099450973806E-16;2.495089279680455
63;3.0290548780896924;0.0616598191105092;1.243629039066013;2.396253537263341E-15;2.1124299803415454E-16;2.381902411674008
64;3.0290548780896924;0.10871795876308855;1.2719180388826419;1.2313365646274019E-15;2.3683919845915597E-16;2.442077292855672
65;3.0290548780896924;0.26428395927584336;1.3545848913091545;2.1981387645614904E-15;1.395034031655405E-16;2.325618876920905
66;5.568523036670538;0.4037738415228185;1.4435252952812696;1.923084229808875E-15;1.9392310413483954E-16;2.3077891755186535
67;5.568523036670538;0.17791651204630343;1.4820202052491012;2.358042092785982E-15;1.3310505988319426E-16;2.2687259688473067
68;3.276674880406962;0.17791651204630343;1.5325941852579672;2.581691576124734E-15;1.262342718788623E-16;2.2657808473439327
69;3.276674880406962;0.18688560587836928;1.5005785304248445;1.5608449559621587E-15;2.273310843316757E-16;2.1740511674995155
70;3.276674880406962;0.14726039468768803;1.499132723191953;3.4586970169127583E-15;1.8740040994122276E-16;2.1223666482907397
71;3.276674880406962;0.1568893165315022;1.5898336679920602;1.6337658925014257E-15;1.9612114329378326E-16;2.066990623947569
72;3.276674880406962;0.06151887912519604;1.5996554045163698;2.832252050307459E-15;2.5440613026775076E-16;2.06481926420563
73;3.5790765753970533;0.6104509472556638;1.6770977162932048;2.2098941372536436E-15;1.9518880378410676E-16;2.000352327093734
74;3.892574114933034;0.7480363546471867;1.785917469382772;2.190872326913468E-15;1.5273916210176497E-16;1.8789428455584416
75;3.892574114933034;0.2743300116982002;1.774233414142607;1.3380808421944575E-15;1.8762045445374678E-16;1.853805170127419
76;3.892574114933034;0.5690647885695298;1.8204432672501907;2.9780633773869467E-15;2.2629188418004E-16;1.8436790840909052
77;3.892574114933034;0.508988398219475;1.8896614562788678;2.96067990024899E-15;1.97227986274993E-16;1.815631132208419
78;3.892574114933034;0.4034711654069478;1.882717384111136;1.8401111853778518E-15;1.289306426344002E-16;1.8182367528941896
