Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;3.4354851197576334E-10;1.1894255175942984E-236;5.714590683587482E-12;7.421526675346532;2.0043847874097853;2.0043847874097853;0.8305590543083903
1;9.050135745745922E-6;1.7867591866750912E-184;9.050730159579367E-8;7.298166139818963;1.9876231028714628;1.9876231028714628;0.8527329187293584
2;9.050135745745922E-6;3.6992340602305133E-144;9.050750132256757E-8;7.1121814008169;1.9618090041879122;1.9618090041879122;0.8655661737157961
3;1.2803033606532697E-5;3.8520020140130403E-82;2.1856044251724309E-7;7.0404468523252355;1.9516716414972566;1.9516716414972566;0.8666103726469395
4;7.983796016647392E-5;5.050768334031405E-58;1.1489671660472666E-6;7.007893564490226;1.94703716580332;1.94703716580332;0.8644249160207312
5;7.983796016647392E-5;5.632090437098453E-47;1.1777144230307042E-6;6.917303284639823;1.934025994925816;1.934025994925816;0.8752648503816112
6;7.983796016647392E-5;1.044530992675401E-40;1.4704408265216306E-6;6.755052545253097;1.9102907501018336;1.9102907501018336;0.8958934900835668
7;7.983796016647392E-5;2.4697448993739828E-39;1.4884484783749778E-6;6.578010405838744;1.8837323296808988;1.8837323296808988;0.8984659085115717
8;7.983796016647392E-5;1.6338970986830127E-37;1.4901157679453128E-6;6.472205189032239;1.8675168833686195;1.8675168833686195;0.9325565377542434
9;7.983796016647392E-5;2.9982280062910135E-29;1.5109395599694477E-6;6.270174301517588;1.835804153543538;1.835804153543538;0.9303471583340279
10;7.983796016647392E-5;8.618724072028092E-27;1.6246387227232333E-6;6.140721097251086;1.8149421778122516;1.8149421778122516;0.9586824480285331
11;7.983796016647392E-5;9.03649464398502E-25;1.6395002974260278E-6;6.127891436098281;1.812850716239956;1.812850716239956;0.9662689414609299
12;7.983796016647392E-5;1.0299758679852057E-22;1.7690212966382962E-6;6.070394481853097;1.8034235917328907;1.8034235917328907;0.9913968034526444
13;7.983796016647392E-5;2.7624759323435336E-21;1.7704443748377182E-6;6.036783995679715;1.797871419097923;1.797871419097923;1.0286013486376255
14;7.983796016647392E-5;1.1562729695267299E-18;1.8717447183211583E-6;5.863063894334791;1.7686723158136721;1.7686723158136721;1.018468628130882
15;7.983796016647392E-5;7.951757552117004E-18;1.8826792122037997E-6;5.79466284114131;1.7569372941054011;1.7569372941054011;1.0431929698865032
16;0.0028058337336182336;2.0776111284138914E-16;2.9949651567956152E-5;5.675905382103038;1.7362300893390925;1.7362300893390925;1.0570926697064802
17;0.0028058337336182336;1.87151014631009E-15;3.388554581974859E-5;5.664742006497741;1.7342613517832066;1.7342613517832066;1.0705779968040927
18;0.0028058337336182336;4.861146574596544E-15;3.424732680199627E-5;5.544674163719524;1.7128378568971407;1.7128378568971407;1.1100431381210238
19;0.0028058337336182336;2.8409201229099328E-14;3.441594599054466E-5;5.446100779750693;1.6948998993595785;1.6948998993595785;1.1276961932030365
20;0.0028058337336182336;8.994544344757317E-12;3.6832942932003E-5;5.4744947695429635;1.7000999919090145;1.7000999919090145;1.144076740926652
21;0.0028058337336182336;2.7168416940010024E-11;3.7440953462100255E-5;5.48289075834081;1.7016324725212268;1.7016324725212268;1.1595670481017564
22;0.0028058337336182336;8.29693688680511E-11;3.850976492413522E-5;5.371401161012084;1.6810887983244458;1.6810887983244458;1.1747153295608717
23;0.0028058337336182336;1.9876201365341412E-10;5.006131950803318E-5;5.228181271872214;1.654063468434057;1.654063468434057;1.1732577764413021
24;0.0031692359840907675;2.9630138316316037E-10;8.190260354918424E-5;5.163730686976758;1.6416593196059888;1.6416593196059888;1.1993619847778725
25;0.0031692359840907675;1.316175429566842E-9;8.438728896409639E-5;5.163831090063472;1.6416787633215308;1.6416787633215308;1.223071202128371
26;0.0031692359840907675;1.714049824596053E-9;8.532321608786457E-5;5.141530044199559;1.6373507091397541;1.6373507091397541;1.2131528837297356
27;0.0031692359840907675;1.0815575778435313E-8;9.033760657965833E-5;5.0852182744566665;1.6263379537428178;1.6263379537428178;1.24341253307661
28;0.0031692359840907675;1.0815575778435313E-8;9.447559756201406E-5;5.019686100183904;1.6133674019047217;1.6133674019047217;1.2435835195225087
29;0.0031692359840907675;3.12008549994418E-8;1.1187738130149536E-4;4.987333112173123;1.6069013204377214;1.6069013204377214;1.2740120244812783
30;0.0031692359840907675;5.496156850915276E-9;1.2575713595414532E-4;4.901450923291284;1.589531268079756;1.589531268079756;1.2939807239435532
31;0.03992669411599373;5.496156850915276E-9;5.800064714467565E-4;4.855284783906085;1.5800677578821152;1.5800677578821152;1.3114524735802364
32;0.03992669411599373;5.496156850915276E-9;5.841764379153289E-4;4.84799975829605;1.5785661989105866;1.5785661989105866;1.3091278578041625
33;0.03992669411599373;3.3306444424044185E-8;5.852597785918532E-4;4.7551561312535515;1.5592295306325397;1.5592295306325397;1.3311376379730535
34;0.03992669411599373;2.1036205494263583E-7;6.238989709209791E-4;4.719738434458115;1.5517533816335516;1.5517533816335516;1.3220731469349754
35;0.03992669411599373;4.0306131240739427E-7;6.320453510768925E-4;4.686075764443613;1.5445955082100449;1.5445955082100449;1.3461120397291164
36;0.03992669411599373;4.138760797209468E-9;6.324211768744234E-4;4.712597080601157;1.5502391532200088;1.5502391532200088;1.34786027502885
37;0.03992669411599373;5.631438552102572E-9;6.324194587225443E-4;4.782061271756667;1.5648716819520954;1.5648716819520954;1.3356680570440504
38;0.03992669411599373;5.964141844389997E-7;7.042550058853032E-4;4.6845034917545485;1.5442599317935113;1.5442599317935113;1.3329926092989177
