Generation;Max;Min;Mean
121;2.03E-07;2.88E-08;3.31E-08
122;2.03E-07;3.07E-42;3.24E-08
123;2.03E-07;3.08E-42;3.21E-08
124;2.03E-07;5.82E-37;3.27E-08
125;2.03E-07;2.89E-08;3.38E-08
126;2.03E-07;3.07E-42;3.38E-08
127;2.03E-07;3.13E-42;3.41E-08
128;7.05E-05;3.07E-42;7.39E-07
129;7.05E-05;2.93E-08;7.40E-07
130;7.05E-05;3.07E-42;7.39E-07
131;7.05E-05;5.53E-36;7.40E-07
132;7.05E-05;5.18E-31;7.40E-07
133;7.05E-05;2.97E-08;7.41E-07
134;7.05E-05;2.27E-25;7.40E-07
135;7.05E-05;3.21E-08;7.41E-07
136;7.05E-05;2.65E-21;7.41E-07
137;7.05E-05;3.07E-42;7.40E-07
138;7.05E-05;2.65E-21;7.41E-07
139;7.05E-05;3.07E-42;7.39E-07
140;7.05E-05;3.26E-08;7.41E-07
141;7.05E-05;3.07E-42;7.41E-07
142;7.05E-05;3.07E-42;7.41E-07
143;7.05E-05;3.07E-42;7.41E-07
144;7.05E-05;3.07E-42;7.40E-07
145;7.05E-05;1.65E-32;7.40E-07
146;7.05E-05;1.65E-32;7.41E-07
147;7.05E-05;3.30E-08;7.41E-07
148;7.05E-05;3.30E-08;7.42E-07
149;7.05E-05;3.31E-08;7.42E-07
150;7.05E-05;3.07E-42;7.41E-07
151;7.05E-05;1.93E-30;7.42E-07
152;7.05E-05;3.07E-42;7.41E-07
153;7.05E-05;2.74E-48;7.41E-07
154;7.05E-05;3.32E-08;7.42E-07
155;7.05E-05;3.33E-08;7.42E-07
156;7.05E-05;3.36E-08;7.42E-07
157;7.05E-05;3.36E-08;7.43E-07
158;7.05E-05;9.83E-24;7.42E-07
159;7.05E-05;2.31E-35;7.42E-07
160;7.05E-05;2.31E-35;7.43E-07
161;7.05E-05;3.39E-08;7.43E-07
162;7.05E-05;3.27E-27;7.43E-07
163;7.05E-05;3.41E-08;7.43E-07
164;7.05E-05;2.70E-30;7.43E-07
165;7.05E-05;3.44E-08;7.44E-07
166;7.05E-05;8.86E-37;7.44E-07
167;7.05E-05;2.31E-41;7.43E-07
168;7.05E-05;3.07E-42;7.43E-07
169;7.05E-05;3.07E-42;7.44E-07
170;7.05E-05;9.44E-35;7.44E-07
171;7.05E-05;7.09E-40;7.43E-07
172;7.05E-05;3.45E-08;7.45E-07
173;7.05E-05;3.07E-42;7.45E-07
174;7.05E-05;1.29E-67;7.46E-07
175;7.05E-05;3.07E-42;7.46E-07
176;7.05E-05;3.07E-42;7.47E-07
177;7.05E-05;3.07E-42;7.48E-07
178;7.05E-05;3.68E-08;7.49E-07
179;7.05E-05;3.04E-41;7.49E-07
180;7.05E-05;3.07E-42;7.49E-07
181;7.05E-05;3.78E-08;7.50E-07
182;7.05E-05;3.79E-08;7.51E-07
183;7.05E-05;2.39E-17;7.51E-07
184;7.05E-05;3.93E-08;7.52E-07
185;7.05E-05;3.93E-08;7.52E-07
186;7.05E-05;3.93E-08;7.53E-07
187;7.05E-05;2.50E-42;7.52E-07
188;7.05E-05;3.07E-42;7.52E-07
189;7.05E-05;6.98E-37;7.66E-07
190;7.05E-05;5.28E-17;7.67E-07
191;7.05E-05;5.35E-50;7.66E-07
192;7.05E-05;5.35E-50;7.66E-07
193;7.05E-05;2.04E-47;7.68E-07
194;7.05E-05;5.85E-32;7.81E-07
195;7.05E-05;2.04E-23;7.94E-07
196;7.05E-05;4.66E-08;8.21E-07
197;7.05E-05;3.07E-42;8.53E-07
198;7.05E-05;3.07E-42;8.55E-07
199;7.05E-05;2.15E-35;8.66E-07
200;7.05E-05;1.73E-50;8.91E-07
201;7.05E-05;4.81E-08;9.50E-07
202;7.05E-05;3.07E-42;9.98E-07
203;7.05E-05;3.07E-42;1.05E-06
204;7.05E-05;4.90E-08;1.05E-06
205;7.05E-05;4.90E-08;1.10E-06
206;7.05E-05;5.07E-08;1.22E-06
207;7.05E-05;5.07E-08;1.40E-06
208;7.05E-05;3.94E-42;1.53E-06
209;7.05E-05;5.36E-08;1.73E-06
210;7.05E-05;3.70E-31;1.86E-06
211;7.05E-05;5.36E-08;2.00E-06
212;7.05E-05;5.36E-08;2.12E-06
213;7.05E-05;3.07E-42;2.14E-06
214;7.05E-05;3.07E-42;2.30E-06
215;7.05E-05;2.58E-35;2.38E-06
216;7.05E-05;1.19E-06;2.53E-06
217;7.05E-05;2.22E-14;2.67E-06
218;7.05E-05;7.73E-37;2.71E-06
219;7.05E-05;1.31E-06;2.82E-06
220;7.05E-05;1.32E-06;3.11E-06
221;7.05E-05;1.32E-06;3.43E-06
222;7.05E-05;1.18E-38;3.60E-06
223;7.05E-05;1.52E-06;3.96E-06
224;7.05E-05;3.07E-42;4.18E-06
225;7.05E-05;3.07E-42;4.45E-06
226;7.05E-05;1.56E-06;4.96E-06
227;7.05E-05;3.07E-42;5.31E-06
228;7.05E-05;2.12E-06;5.79E-06
229;7.05E-05;3.25E-31;6.16E-06
230;7.05E-05;3.07E-42;6.48E-06
231;7.05E-05;1.07E-25;6.63E-06
232;7.05E-05;3.78E-36;6.96E-06
233;7.05E-05;1.68E-16;7.13E-06
234;7.05E-05;3.53E-06;7.40E-06
235;7.05E-05;1.13E-44;7.42E-06
236;7.05E-05;4.02E-50;7.59E-06
237;7.05E-05;3.07E-42;7.76E-06
238;7.05E-05;3.07E-42;7.89E-06
239;7.05E-05;2.90E-06;8.14E-06
240;7.05E-05;5.23E-06;8.33E-06
241;7.05E-05;9.80E-38;8.54E-06
242;7.05E-05;3.07E-42;8.71E-06
243;7.05E-05;1.48E-19;8.96E-06
244;7.05E-05;1.48E-19;9.02E-06
245;7.05E-05;4.68E-06;9.41E-06
246;7.05E-05;1.19E-32;9.62E-06
247;7.05E-05;1.19E-32;9.55E-06
248;7.05E-05;3.30E-39;9.94E-06
249;7.05E-05;3.79E-06;1.03E-05
250;7.05E-05;3.79E-06;1.05E-05
251;7.05E-05;6.81E-06;1.07E-05
252;7.05E-05;7.44E-06;1.09E-05
253;7.05E-05;9.91E-20;1.11E-05
254;7.05E-05;3.07E-42;1.11E-05
255;7.05E-05;8.79E-06;1.14E-05
256;7.05E-05;4.61E-06;1.13E-05
257;7.05E-05;9.14E-06;1.16E-05
258;7.05E-05;7.61E-06;1.17E-05
259;7.05E-05;1.56E-16;1.17E-05
260;7.05E-05;1.56E-16;1.18E-05
261;7.05E-05;8.74E-06;1.20E-05
262;7.05E-05;5.34E-06;1.20E-05
263;7.05E-05;6.72E-22;1.19E-05
264;7.05E-05;3.07E-42;1.17E-05
265;7.05E-05;3.07E-42;1.20E-05
266;7.05E-05;9.96E-06;1.23E-05
267;7.05E-05;3.07E-42;1.23E-05
268;7.05E-05;6.30E-33;1.22E-05
269;7.05E-05;9.73E-06;1.24E-05
270;7.05E-05;1.13E-05;1.26E-05
271;7.05E-05;8.11E-06;1.25E-05
272;7.05E-05;1.07E-05;1.26E-05
273;7.05E-05;6.67E-27;1.24E-05
274;7.05E-05;8.94E-06;1.26E-05
275;7.05E-05;1.02E-05;1.27E-05
276;7.05E-05;4.35E-35;1.26E-05
277;7.05E-05;8.17E-06;1.26E-05
278;7.05E-05;1.04E-17;1.26E-05
279;7.05E-05;3.07E-42;1.24E-05
280;7.05E-05;3.07E-42;1.26E-05
281;7.05E-05;3.07E-42;1.26E-05
