Generation;Max;Min;Mean
138;3.00E-05;3.26E-45;3.39E-07
139;3.00E-05;1.47E-58;3.39E-07
140;3.00E-05;8.36E-46;3.40E-07
141;3.00E-05;1.28E-44;3.40E-07
142;3.00E-05;8.02E-62;3.40E-07
143;3.00E-05;3.93E-66;3.40E-07
144;3.00E-05;3.34E-58;3.40E-07
145;3.00E-05;3.34E-58;3.40E-07
146;3.00E-05;3.05E-46;3.40E-07
147;3.00E-05;1.17E-75;3.40E-07
148;3.00E-05;8.75E-64;3.40E-07
149;3.00E-05;1.35E-46;3.40E-07
150;3.00E-05;1.80E-49;3.40E-07
151;3.00E-05;7.79E-44;3.40E-07
152;3.00E-05;2.78E-35;3.40E-07
153;3.00E-05;7.54E-59;3.40E-07
154;3.00E-05;4.10E-46;3.40E-07
155;3.00E-05;3.01E-62;3.40E-07
156;3.00E-05;3.01E-62;3.40E-07
157;3.00E-05;2.03E-63;3.40E-07
158;3.00E-05;1.07E-51;3.40E-07
159;3.00E-05;1.07E-51;3.40E-07
160;3.00E-05;2.16E-54;3.40E-07
161;3.00E-05;4.37E-63;3.40E-07
162;3.00E-05;1.32E-57;3.40E-07
163;3.00E-05;7.22E-51;3.40E-07
164;3.00E-05;7.22E-51;3.40E-07
165;3.00E-05;8.01E-51;3.40E-07
166;3.00E-05;3.22E-42;3.40E-07
167;3.00E-05;9.92E-37;3.40E-07
168;3.00E-05;9.87E-56;3.40E-07
169;3.00E-05;2.62E-48;3.40E-07
170;3.00E-05;2.01E-62;3.40E-07
171;3.00E-05;9.28E-64;3.40E-07
172;3.00E-05;2.85E-63;3.40E-07
173;3.00E-05;8.31E-54;3.40E-07
174;3.00E-05;8.31E-54;3.40E-07
175;3.00E-05;1.19E-44;3.40E-07
176;3.00E-05;1.27E-66;3.40E-07
177;3.00E-05;1.11E-65;3.40E-07
178;3.00E-05;1.20E-50;3.40E-07
179;3.00E-05;3.78E-56;3.40E-07
180;3.00E-05;1.50E-52;3.40E-07
181;3.00E-05;6.25E-58;3.40E-07
182;3.00E-05;6.88E-45;3.40E-07
183;3.00E-05;5.07E-62;3.40E-07
184;3.00E-05;4.28E-59;3.40E-07
185;3.00E-05;1.55E-40;3.40E-07
186;3.00E-05;1.63E-52;3.40E-07
187;3.00E-05;1.93E-46;3.40E-07
188;3.00E-05;5.03E-61;3.40E-07
189;3.00E-05;7.19E-54;3.40E-07
190;3.00E-05;2.29E-46;3.40E-07
191;3.00E-05;7.52E-67;3.43E-07
192;3.00E-05;6.47E-49;3.43E-07
193;3.00E-05;4.16E-51;3.43E-07
194;3.00E-05;1.01E-37;3.43E-07
195;3.00E-05;1.73E-61;3.43E-07
196;3.00E-05;1.28E-47;3.43E-07
197;3.00E-05;7.77E-46;3.58E-07
198;3.00E-05;4.65E-43;3.58E-07
199;3.00E-05;1.98E-44;3.58E-07
200;3.00E-05;3.29E-49;3.58E-07
201;3.00E-05;3.29E-49;3.58E-07
202;3.00E-05;6.23E-47;3.58E-07
203;3.00E-05;3.07E-42;3.58E-07
204;3.00E-05;2.81E-47;3.58E-07
205;3.00E-05;9.46E-57;3.58E-07
206;3.00E-05;3.25E-43;3.58E-07
207;3.00E-05;1.10E-47;3.58E-07
208;3.00E-05;3.93E-59;3.58E-07
209;3.00E-05;3.69E-52;3.58E-07
210;3.00E-05;9.40E-57;3.58E-07
211;3.00E-05;3.38E-50;3.58E-07
212;3.00E-05;5.80E-64;3.58E-07
213;3.00E-05;2.71E-43;3.58E-07
214;3.00E-05;5.41E-46;3.58E-07
215;3.00E-05;1.53E-57;3.58E-07
216;3.00E-05;7.70E-40;3.58E-07
217;3.00E-05;2.34E-51;3.58E-07
218;3.00E-05;3.37E-54;3.58E-07
219;3.00E-05;1.34E-48;3.58E-07
220;3.00E-05;7.18E-42;3.58E-07
221;3.00E-05;1.49E-45;3.58E-07
222;3.00E-05;1.49E-45;3.58E-07
223;3.00E-05;6.28E-49;3.58E-07
224;3.00E-05;2.07E-45;3.58E-07
225;3.00E-05;3.20E-55;3.58E-07
226;3.00E-05;3.72E-36;3.58E-07
227;3.00E-05;5.97E-60;3.58E-07
228;3.00E-05;9.42E-51;3.58E-07
229;3.00E-05;5.50E-59;3.58E-07
230;3.00E-05;5.50E-59;3.58E-07
231;3.00E-05;2.08E-52;3.58E-07
232;3.00E-05;7.87E-40;3.58E-07
233;3.00E-05;1.71E-56;3.58E-07
234;3.00E-05;7.80E-69;3.58E-07
235;3.00E-05;2.20E-61;3.58E-07
236;3.00E-05;1.09E-65;3.58E-07
237;3.00E-05;2.61E-65;3.58E-07
238;3.00E-05;4.73E-62;3.58E-07
239;3.00E-05;8.07E-52;3.58E-07
240;3.00E-05;9.14E-57;3.58E-07
241;3.00E-05;2.84E-48;3.58E-07
242;3.00E-05;1.18E-58;3.58E-07
243;3.00E-05;1.26E-50;3.60E-07
244;3.00E-05;1.26E-50;3.29E-07
245;3.00E-05;2.58E-49;3.29E-07
246;3.00E-05;5.95E-41;3.26E-07
247;3.00E-05;2.94E-42;3.26E-07
248;3.00E-05;2.69E-41;3.26E-07
249;3.00E-05;2.69E-41;3.26E-07
250;3.00E-05;1.82E-52;3.26E-07
251;3.00E-05;1.82E-52;3.26E-07
252;3.00E-05;2.69E-41;3.26E-07
253;3.00E-05;2.69E-41;3.26E-07
254;3.00E-05;1.55E-41;3.26E-07
255;3.00E-05;2.36E-65;3.26E-07
256;3.00E-05;3.40E-52;3.30E-07
257;3.00E-05;3.40E-52;3.30E-07
258;3.00E-05;3.40E-52;3.31E-07
259;3.00E-05;1.52E-45;3.31E-07
260;3.00E-05;4.71E-63;3.30E-07
261;3.00E-05;4.71E-63;3.30E-07
262;3.00E-05;9.42E-63;3.30E-07
263;3.00E-05;3.70E-55;3.29E-07
264;3.00E-05;3.13E-51;3.29E-07
265;3.00E-05;9.85E-45;3.29E-07
266;3.00E-05;2.78E-64;3.29E-07
267;3.00E-05;2.78E-64;3.29E-07
268;3.00E-05;3.70E-53;3.38E-07
269;3.00E-05;2.09E-55;3.38E-07
270;3.00E-05;7.07E-52;3.38E-07
271;3.00E-05;1.08E-57;3.38E-07
272;3.00E-05;3.08E-60;3.38E-07
273;3.00E-05;2.01E-41;3.38E-07
274;3.00E-05;4.19E-50;3.38E-07
275;3.00E-05;8.82E-55;3.38E-07
276;3.00E-05;8.18E-67;3.38E-07
277;3.00E-05;1.79E-48;3.38E-07
278;3.00E-05;1.67E-68;3.38E-07
279;3.00E-05;3.31E-50;3.38E-07
280;3.00E-05;7.28E-49;3.38E-07
281;3.00E-05;2.46E-43;3.38E-07
282;3.00E-05;3.07E-42;3.38E-07
283;3.00E-05;1.36E-57;3.36E-07
284;3.00E-05;1.08E-64;3.36E-07
285;3.00E-05;3.24E-59;3.36E-07
286;3.00E-05;3.24E-59;3.37E-07
287;3.00E-05;2.05E-54;3.37E-07
288;3.00E-05;2.05E-54;3.37E-07
289;3.00E-05;8.78E-45;3.37E-07
290;3.00E-05;3.49E-52;3.37E-07
291;3.00E-05;7.79E-53;3.37E-07
292;3.00E-05;4.97E-53;3.37E-07
293;3.00E-05;1.19E-60;3.37E-07
294;3.00E-05;4.54E-52;3.37E-07
295;3.00E-05;4.15E-48;3.37E-07
296;3.00E-05;8.43E-57;3.37E-07
297;3.00E-05;8.43E-57;3.37E-07
298;3.00E-05;2.40E-42;3.37E-07
299;3.00E-05;1.58E-49;3.37E-07
300;3.00E-05;1.53E-67;3.37E-07
301;3.00E-05;4.82E-53;3.37E-07
302;3.00E-05;4.82E-53;3.37E-07
303;3.00E-05;3.36E-46;3.37E-07
304;3.00E-05;6.79E-48;3.37E-07
305;3.00E-05;7.18E-58;3.37E-07
306;3.00E-05;4.02E-54;3.37E-07
307;3.00E-05;5.79E-70;3.37E-07
308;1.49E-06;2.88E-55;3.75E-08
309;1.49E-06;4.42E-62;3.75E-08
310;1.49E-06;5.57E-54;3.78E-08
311;1.49E-06;1.94E-52;3.78E-08
312;1.49E-06;1.94E-52;3.78E-08
313;1.49E-06;1.94E-52;3.78E-08
314;1.49E-06;4.46E-51;2.85E-08
315;1.49E-06;4.82E-58;2.85E-08
316;1.49E-06;1.91E-49;2.85E-08
317;1.49E-06;1.33E-47;2.85E-08
318;1.49E-06;4.94E-50;2.85E-08
319;1.49E-06;6.21E-55;2.85E-08
320;1.49E-06;7.78E-51;2.85E-08
321;1.49E-06;4.90E-49;2.85E-08
322;1.49E-06;8.91E-53;2.85E-08
323;1.49E-06;3.13E-51;2.85E-08
324;1.49E-06;3.26E-62;2.85E-08
