Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;1.6379443398296443E-4;1.1872005881288132E-222;3.582384074191039E-6;1.0085384750325522E-15;5.481315105084909E-16;5.046545986558156
1;0.0013816217511271442;2.3111909300504494E-143;1.799238681519396E-5;1.2535494690266385E-15;3.563111141724289E-16;5.280376573492807
2;0.007682302139492967;4.423612082587894E-67;2.118185379924208E-4;1.0016008555961181E-15;3.715591542297362E-16;5.411281620609903
3;0.007682302139492967;6.1114360536211455E-43;3.76614119958642E-4;1.4172465473983083E-15;4.508366777622323E-16;5.397469376242617
4;0.007682302139492967;2.2188168867000035E-20;4.435003867226231E-4;1.3070663731770996E-15;6.1023093195083E-16;5.415519201112574
5;0.007682302139492967;1.4632345318100155E-14;5.574392758005351E-4;2.376671157043051E-15;5.099586828042266E-16;5.53184708928988
6;0.008839338316854803;1.4598615774718316E-11;7.725059429855278E-4;1.9493063045683416E-15;6.03985049824719E-16;5.6367453781087935
7;0.04660360326222049;6.597503943047195E-8;0.0016203072376723443;1.2613097393914899E-15;6.98875473352072E-16;5.674165739418385
8;0.04660360326222049;6.597503943047195E-8;0.0016939914022975602;1.888781746671672E-15;5.425649243926831E-16;5.7755909268990635
9;0.25335749217678527;8.154052559851061E-7;0.00510365825347448;2.0180681836331616E-15;6.252953585633976E-16;5.764702279283876
10;0.25335749217678527;1.988597497549105E-5;0.0064171586702178995;3.68186045489224E-15;4.849289084079041E-16;5.765102396139689
11;0.28659792761676445;2.434611881337831E-5;0.01089203637334315;1.785400523780453E-15;5.409789537592568E-16;5.750380449063021
12;0.28659792761676445;4.987413837360999E-7;0.015125445436962405;2.2389741421657985E-15;5.270509023508111E-16;5.778778973213791
13;0.3323009900516926;3.637878557432887E-6;0.021409647643602567;2.6796775398017524E-15;7.502112854647088E-16;5.808321315337972
14;0.3323009900516926;1.0303121102047847E-5;0.025018402416772428;2.4655189550038075E-15;3.58024225394681E-16;5.796128202010965
15;0.3323009900516926;8.836571007654429E-5;0.028763193478279728;1.2086229699362476E-15;3.332159446134554E-16;5.784427043502413
16;0.3323009900516926;4.342056851926186E-4;0.034077324370890616;1.892844302284071E-15;4.699566489953226E-16;5.653613895997917
17;0.3323009900516926;1.5515399617224958E-5;0.03701394072739032;1.5662850784141689E-15;3.793074363957549E-16;5.735012223118525
18;0.3323009900516926;5.37745966536881E-6;0.03871920852923598;1.6745693944609724E-15;7.427708893766462E-16;5.761868517381685
19;0.3323009900516926;3.9015726911622553E-4;0.04297471104899619;2.1688385097310203E-15;7.6843164532417E-16;5.82644563079555
20;0.44387207846547516;7.044806409758268E-4;0.05528480442331337;3.263807251659932E-15;4.592756117216653E-16;5.735475290264311
21;0.44387207846547516;0.003574705939033754;0.06336643581311946;1.8137138869395543E-15;7.578743147457285E-16;5.7052862310319625
22;0.767209032362764;7.32628132901196E-4;0.08407599574325897;1.3982007238693655E-15;4.991864773702534E-16;5.505891451672402
23;0.767209032362764;7.32628132901196E-4;0.08733600751943385;1.3162563704351024E-15;5.401787673348901E-16;5.273333339946238
24;0.767209032362764;7.32628132901196E-4;0.08542078708968007;1.857003603491414E-15;5.07728079842519E-16;5.2432645891764675
25;0.767209032362764;9.740213218523516E-4;0.10205125255804864;1.222052495270366E-15;3.740186369285176E-16;5.200837829089147
26;0.767209032362764;6.980957952835975E-4;0.11635395171128503;1.6912687311035933E-15;3.8348262815720366E-16;5.154894866240653
27;0.7781281628916146;0.004281317028899114;0.13430674549194724;1.9611105336879393E-15;4.894816751225533E-16;5.030976741355653
28;0.7781281628916146;0.001469018222699027;0.13831296149955644;2.332360192470457E-15;5.515864641256227E-16;4.973815426005725
29;0.7781281628916146;0.004021604124675221;0.14245946056939057;1.6475339357557574E-15;3.858370442200353E-16;5.043813133564432
30;0.7781281628916146;0.002817275997582525;0.15887380999606118;1.7355620689817527E-15;7.750866122245933E-16;5.034475757519645
31;0.7781281628916146;0.0037112570113930995;0.15616264082177658;2.303927921922568E-15;3.9226268732225923E-16;4.9484473260606645
32;0.7781281628916146;0.0011881312633336774;0.1670781627750852;1.8285347094645588E-15;2.613362845308313E-16;4.875849623063136
33;1.2138964823143983;0.0011780367222863175;0.196760688353078;1.2010504338468147E-15;4.862182728182111E-16;4.799764306945819
34;1.2138964823143983;0.0025479827818680623;0.21142813256067947;1.3081843217300506E-15;2.110269026870573E-16;4.719928878216134
35;1.5837843323098246;0.0011275879674903845;0.243321599482933;1.5727762007118829E-15;5.599656942099749E-16;4.5792207806870024
36;1.9072434203619684;0.004659890856683653;0.29178552387773904;1.830374973318584E-15;6.754089356340486E-16;4.3635318036418225
37;1.9072434203619684;0.029365698001938608;0.3143872022273723;2.035086237578033E-15;6.567938100813777E-16;4.119727015988053
38;1.9072434203619684;0.002571581594099958;0.3661688805123763;2.3181066604269263E-15;3.8192733541922727E-16;3.998664346598241
39;1.9072434203619684;0.009057428950201087;0.4052428783319666;2.9182622434927185E-15;4.585097601249141E-16;3.8288445912017233
40;1.9072434203619684;0.009057428950201087;0.46564039398669055;1.7547531545966621E-15;2.429483145114682E-16;3.6657532236577888
41;2.4492057347385057;0.07535184869574085;0.5269800710736248;2.0898072180645976E-15;3.256347797261417E-16;3.651773057581876
42;2.4492057347385057;0.06974898993946997;0.5920838936378757;1.8647170712659732E-15;2.87118249231861E-16;3.534831226534168
43;2.4492057347385057;0.005371830497932858;0.6205101970957451;2.016814340482865E-15;3.1200773282240137E-16;3.503471375843775
44;2.4492057347385057;0.07535184869574085;0.6566374533168539;1.562594198105332E-15;3.195687304053824E-16;3.3811955584962408
45;2.4492057347385057;0.07535184869574085;0.6954779465990284;1.5282045515440649E-15;5.438022441353323E-16;3.3448315580089285
46;2.4492057347385057;0.13328649584227412;0.7626718871770971;1.7515970926333442E-15;3.51568418772031E-16;3.2723475164171196
47;2.4670013765894407;0.08051304276494348;0.8147559384768104;2.074740398034306E-15;2.6593567755822467E-16;3.261115445056025
48;3.0256385572968636;0.21773483594871826;0.8989917225114309;1.724880111457836E-15;2.3944481077074996E-16;3.2022949393157645
49;3.0256385572968636;0.05758142897687049;0.9422674679616228;2.746741634016868E-15;3.035097893067268E-16;3.166093079458105
50;3.0256385572968636;0.14810205262215193;0.9717899259198721;2.4217666059196514E-15;2.521209836693689E-16;3.1190832149491916
51;3.0256385572968636;0.05740154854093505;1.0234666541777921;1.4251135977431531E-15;2.6867260998285875E-16;2.9967525662971006
52;3.0256385572968636;0.13027968557476227;1.0653535809935142;8.095321083264672E-16;1.531109511376986E-16;2.9516511692615053
53;3.0256385572968636;0.27243282665643787;1.1278556018491508;1.6896401741818723E-15;2.674376908592797E-16;2.909178982281899
54;3.0256385572968636;0.09411623457462095;1.1360980625532886;1.878735385195647E-15;2.1759114456900394E-16;2.873929813536496
55;3.0256385572968636;0.09411623457462095;1.1487090233816983;1.3169971366301783E-15;3.5998869892950327E-16;2.898052884283194
56;3.0256385572968636;0.15216922473280267;1.1654758544657404;1.146085769486811E-15;2.086742298177479E-16;2.81478455700762
57;3.3227665291405524;0.09166853189407537;1.2196531800107666;2.537625006119999E-15;7.993629870646428E-17;2.828979155986586
58;3.3227665291405524;0.09166853189407537;1.2388837543260822;1.7830624200088007E-15;3.8941918303604827E-16;2.786905098160715
59;3.5137365551964224;0.13631841483798401;1.2495563674889902;2.5120101943703327E-15;2.524188398673338E-16;2.766290168403539
60;3.5137365551964224;0.03995499726695112;1.2581014609482675;1.615857909641991E-15;1.9071271870053268E-16;2.7452030946335597
61;3.5137365551964224;0.23048177927868985;1.3342007262235083;1.80831342362137E-15;1.8130920815030343E-16;2.680156738315755
62;3.5137365551964224;0.15815525851457043;1.3502190372883067;1.8038857925202857E-15;3.360040635898382E-16;2.6443562945124506
63;3.5137365551964224;0.151333988580852;1.3957635003614044;2.1763986685922654E-15;3.438118019455068E-16;2.6381013036253322
64;3.5137365551964224;0.037242783620406686;1.4213719294223108;1.5576009629842385E-15;2.6035088705749357E-16;2.667775016364842
65;3.5137365551964224;0.21857084580860084;1.4771565298715033;2.580389907558223E-15;3.3116126865827043E-16;2.5835617381513676
66;3.5137365551964224;0.46309756434939536;1.5695706968515168;2.211809916818219E-15;1.7169207370462497E-16;2.4573493559045114
67;3.5137365551964224;0.16174910299555478;1.6093907806955476;2.9908677432059146E-15;1.1707008064219708E-16;2.4390243853521905
68;3.5137365551964224;0.16174910299555478;1.7322336257761728;1.124071377430978E-15;3.204452801749599E-16;2.4010364336724246
69;3.5137365551964224;0.16174910299555478;1.772673130172516;2.7865577531259995E-15;1.721935560787327E-16;2.343271418581769
70;3.5137365551964224;0.16174910299555478;1.742887910714527;2.364929321933156E-15;1.52503123247787E-16;2.3422865965725674
71;3.5137365551964224;0.19332966004226193;1.759448600154273;1.5585140586505359E-15;2.618403544140295E-16;2.3293680996092716
72;3.5137365551964224;0.413660211644042;1.816820865230107;1.513286545172519E-15;1.2187787403205168E-16;2.315926630675239
73;3.5137365551964224;0.2880554351313372;1.8431133896406149;1.5557148442199131E-15;2.234294960729196E-16;2.310652649398491
74;3.672544211445782;0.13318366043699353;1.826547091891592;2.2392321319945677E-15;2.561427622859652E-16;2.3328898321196063
75;4.002576143512834;0.05872330784186892;1.8373436467598256;2.7962818322102457E-15;1.8706753498486245E-16;2.3158032677302414
76;4.002576143512834;0.3404735492036615;1.9170153305295687;2.9325757981828388E-15;1.7437876644554825E-16;2.216563777901757
77;4.002576143512834;0.18086014718066862;1.9306483692281073;1.448416276707488E-15;2.5252412003858295E-16;2.21453362561469
78;4.002576143512834;0.4861725603600856;2.0035591247957565;1.5531361674412444E-15;2.296929111114916E-16;2.2474766604422536
79;4.002576143512834;0.17764915738366405;1.9863859232247494;1.3795704970211399E-15;1.8100313233171473E-16;2.1483707452486085
80;4.002576143512834;0.4478695420620977;2.0455918953893457;1.145266488344736E-15;3.744189343930341E-16;2.2393827014499577
81;4.002576143512834;0.547839179215329;2.0582846865433955;1.8951966365740437E-15;2.0172500739814774E-16;2.2066666456002904
82;4.479793041153286;0.22723475615115532;2.1159520601928152;1.740485932327405E-15;3.20879040929095E-16;2.1459224691139753
83;4.002576143512834;0.6979149443123762;2.2214556852129665;2.7932330961795968E-15;2.8220621410778046E-16;2.0712904044957208
84;4.318710250377245;0.46372690006472256;2.2994546705095456;1.181056308669819E-15;2.2235426482454656E-16;2.0537883456771917
85;4.318710250377245;0.3747432051019395;2.361377560864;2.6155253547093456E-15;1.6580623103627632E-16;2.0020179485245007
86;4.318710250377245;0.599198864198119;2.3519664591512903;1.4102942278723486E-15;1.376060340971631E-16;1.883588818238193
87;4.318710250377245;0.9506798680462187;2.4964113531275673;2.2094713131423057E-15;1.5359520259688129E-16;1.8347901451251836
88;4.318710250377245;0.3659550631514003;2.5694790408963017;1.3988900701098498E-15;2.334098381858981E-16;1.820804609204924
89;4.318710250377245;0.7137419751604995;2.645911237313815;2.0405313266715298E-15;1.2507823497585704E-16;1.7157241946804767
90;4.318710250377245;0.03598434041417389;2.670938450046005;1.4395466151482709E-15;1.500183887323825E-16;1.7023019224425369
