Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;0.004830621349780901;5.5893324012683306E-154;5.199648926863554E-5;4.0963618968175757E-16;3.0718037383154216E-16;5.126903954643374
1;0.004830621349780901;4.210834586831243E-128;9.14657449375196E-5;1.3873888156651995E-15;3.248090232884199E-16;5.356123644163537
2;0.004830621349780901;2.8529474634162774E-121;1.5172068149378132E-4;1.7576790618994352E-15;3.616026387894627E-16;5.334203738485134
3;0.004830621349780901;7.126876812825737E-36;1.9791919366863328E-4;7.153007641030088E-16;5.675865236299509E-16;5.44017702513555
4;0.00643663408886606;1.0205590592350036E-16;3.4146323044320393E-4;1.241023764429686E-15;4.60125918641121E-16;5.541828408332268
5;0.029412568787776254;4.857287220168493E-12;0.0012312664242939118;1.4766217695062157E-15;6.22187644927215E-16;5.716807013706531
6;0.029412568787776254;3.327187037912025E-8;0.001722704227541355;2.2216440903733552E-15;2.9468788839108776E-16;5.815316991201098
7;0.13903173317789524;4.533723139272634E-7;0.0031803393486632392;1.7896381917810242E-15;5.522377554425701E-16;5.743678813045825
8;0.13903173317789524;1.6501710961842962E-6;0.0036636424143225346;2.1414299889932444E-15;5.594056909021931E-16;5.826250842168149
9;0.13903173317789524;1.6501710961842962E-6;0.004737025925255167;1.6892998274199153E-15;3.934238050262564E-16;5.928853067388984
10;0.16768481040416602;2.1411932121627315E-7;0.009560706010438909;1.842626755425084E-15;2.5730990465386287E-16;5.841350872747641
11;0.16768481040416602;2.7721211681531036E-6;0.013011326169485648;2.4306613472643358E-15;5.706530146798005E-16;5.377248465533098
12;0.8597453153107961;3.0192272436079093E-5;0.028262056521968372;1.6082254027783402E-15;6.639097136128061E-16;5.072386948799296
13;0.379152448158931;3.176972410987028E-5;0.027280950540455012;1.2787060860822917E-15;4.033526921631965E-16;4.799590597348569
14;0.3820011875443765;3.176972410987028E-5;0.04161061781029608;1.6516480882492235E-15;3.6565503335466582E-16;4.6428138537159365
15;0.3820011875443765;3.382575271657976E-4;0.042145055756421926;1.5959861446592768E-15;3.082575013753016E-16;4.404286188234473
16;0.6710699606204727;0.0019536925511288144;0.057393473960464104;1.9691450888288446E-15;1.477246023025827E-16;4.318208609335693
17;0.6710699606204727;4.1221271330122724E-4;0.0666191722983037;2.5736667558437373E-15;2.5358546391152797E-16;4.212991481272805
18;0.6710699606204727;0.0013709133331406306;0.08177457594763929;1.2683344491971763E-15;2.93379355536681E-16;4.310488156356707
19;0.6710699606204727;0.005062925045568616;0.1008934984187717;1.8729209053312773E-15;2.6632270287229306E-16;4.458254547569557
20;0.6710699606204727;2.1526963847805886E-5;0.1141206312354805;1.959810325450349E-15;8.789201286616599E-16;4.514945118702352
21;0.8701156603803843;0.001195668110374371;0.1265497437961323;1.2608947129877476E-15;2.9319538945954504E-16;4.572060032888829
22;0.8701156603803843;0.0013593507577668706;0.14437772704403612;1.9204253457063855E-15;6.418786365827537E-16;4.48563908560156
