Generation;Max;Min;Mean
0;1.44E-05;1.68E-67;1.54E-07
1;1.44E-05;7.18E-55;1.54E-07
2;1.44E-05;6.12E-54;1.54E-07
3;1.44E-05;7.69E-46;1.54E-07
4;9.92E-07;7.69E-46;9.92E-09
5;9.92E-07;1.81E-58;9.92E-09
6;9.92E-07;1.28E-49;9.92E-09
7;9.92E-07;2.05E-39;9.92E-09
8;9.92E-07;3.81E-47;9.92E-09
9;9.92E-07;4.17E-45;9.92E-09
10;9.92E-07;2.22E-46;9.92E-09
11;9.92E-07;2.22E-46;9.92E-09
12;9.92E-07;7.97E-55;9.92E-09
13;9.92E-07;9.98E-50;9.92E-09
14;1.13E-06;1.02E-57;2.12E-08
15;1.13E-06;3.07E-42;2.12E-08
16;4.32E-06;5.49E-43;6.44E-08
17;4.32E-06;2.43E-38;6.45E-08
18;4.32E-06;1.58E-51;6.45E-08
19;4.32E-06;1.58E-51;6.45E-08
20;4.32E-06;4.08E-48;6.45E-08
21;4.32E-06;4.92E-59;6.45E-08
22;4.32E-06;6.93E-64;6.45E-08
23;4.32E-06;2.77E-54;6.45E-08
24;4.32E-06;5.48E-56;6.45E-08
25;4.32E-06;5.48E-56;6.45E-08
26;4.32E-06;5.48E-56;6.45E-08
27;4.32E-06;2.22E-69;6.45E-08
28;4.32E-06;1.57E-53;6.45E-08
29;4.32E-06;1.99E-51;6.45E-08
30;4.32E-06;2.10E-54;6.45E-08
31;4.32E-06;5.32E-60;6.45E-08
32;4.32E-06;4.93E-49;6.45E-08
33;4.32E-06;5.51E-46;6.45E-08
34;4.32E-06;7.98E-53;6.45E-08
35;4.32E-06;2.09E-62;6.45E-08
36;4.32E-06;2.09E-62;6.45E-08
37;4.32E-06;1.23E-47;6.45E-08
38;4.32E-06;3.45E-56;6.45E-08
39;4.32E-06;3.07E-42;6.45E-08
40;4.32E-06;6.91E-46;6.45E-08
41;4.32E-06;8.85E-46;6.45E-08
42;4.32E-06;8.85E-46;6.45E-08
43;4.32E-06;3.03E-56;6.45E-08
44;4.32E-06;5.06E-52;6.45E-08
45;4.32E-06;3.74E-48;6.45E-08
46;4.32E-06;3.07E-42;6.45E-08
47;4.32E-06;3.07E-42;6.45E-08
48;4.32E-06;2.38E-45;6.45E-08
49;4.32E-06;1.24E-44;6.47E-08
50;4.32E-06;1.24E-44;6.49E-08
51;4.32E-06;6.11E-74;6.49E-08
52;4.32E-06;7.14E-51;6.49E-08
53;4.32E-06;1.07E-56;6.49E-08
54;4.32E-06;3.07E-42;6.49E-08
55;4.32E-06;3.07E-42;6.49E-08
56;4.32E-06;3.07E-42;6.49E-08
57;4.32E-06;2.59E-51;6.49E-08
58;4.32E-06;1.65E-53;6.49E-08
59;4.32E-06;5.09E-55;6.50E-08
60;4.32E-06;2.89E-51;6.50E-08
61;4.32E-06;2.89E-51;6.50E-08
62;1.24E-05;6.32E-54;1.89E-07
63;1.24E-05;6.32E-54;1.89E-07
64;1.24E-05;1.11E-62;1.89E-07
65;1.24E-05;7.03E-45;1.89E-07
66;1.24E-05;7.05E-54;1.93E-07
67;1.24E-05;1.50E-46;1.93E-07
68;1.24E-05;3.07E-42;1.93E-07
69;1.24E-05;2.22E-57;1.93E-07
70;1.24E-05;3.49E-48;1.93E-07
71;1.24E-05;1.20E-46;1.93E-07
72;1.24E-05;3.04E-42;1.93E-07
73;1.24E-05;9.95E-50;1.93E-07
74;1.24E-05;9.95E-50;1.93E-07
75;1.24E-05;1.80E-51;1.93E-07
76;1.24E-05;8.66E-44;1.93E-07
77;1.24E-05;1.31E-50;1.93E-07
78;1.24E-05;2.97E-57;1.93E-07
79;1.24E-05;3.07E-42;1.93E-07
80;1.24E-05;3.07E-42;1.93E-07
81;1.24E-05;4.06E-43;1.93E-07
82;1.24E-05;6.87E-39;1.94E-07
83;1.24E-05;4.73E-54;1.94E-07
84;1.24E-05;2.93E-39;1.94E-07
85;1.24E-05;9.34E-62;1.94E-07
86;1.24E-05;1.09E-48;1.94E-07
87;1.24E-05;1.09E-48;1.94E-07
88;1.24E-05;1.48E-54;1.94E-07
89;1.24E-05;4.53E-35;1.94E-07
90;1.24E-05;2.13E-48;1.94E-07
91;1.24E-05;3.36E-57;1.94E-07
92;1.24E-05;3.07E-42;1.94E-07
93;1.24E-05;1.25E-62;1.94E-07
94;1.24E-05;1.69E-52;1.94E-07
95;1.24E-05;1.69E-52;1.95E-07
96;1.24E-05;3.43E-48;1.95E-07
97;1.24E-05;4.70E-57;1.95E-07
98;7.03E-06;1.02E-47;1.41E-07
99;7.03E-06;8.19E-46;1.41E-07
100;7.03E-06;2.31E-60;1.41E-07
101;7.03E-06;3.41E-57;1.41E-07
102;7.03E-06;1.47E-55;1.41E-07
103;7.03E-06;6.32E-50;1.41E-07
104;7.03E-06;1.68E-69;1.42E-07
105;7.03E-06;2.30E-51;1.42E-07
106;7.03E-06;2.30E-51;1.42E-07
107;7.03E-06;3.95E-50;1.42E-07
108;7.03E-06;3.95E-50;1.42E-07
109;7.03E-06;3.19E-48;1.42E-07
110;7.03E-06;1.29E-55;1.43E-07
111;7.03E-06;1.46E-43;1.43E-07
112;7.03E-06;4.27E-36;1.44E-07
113;7.03E-06;3.07E-42;1.44E-07
114;7.03E-06;3.07E-42;1.45E-07
115;7.03E-06;3.07E-42;1.46E-07
116;7.03E-06;3.07E-42;1.46E-07
117;7.03E-06;4.12E-56;1.46E-07
