Generation;Max;Min;Mean
121;2.59E-05;3.24E-84;2.78E-07
122;2.59E-05;5.66E-58;2.78E-07
123;2.59E-05;1.49E-40;2.78E-07
124;2.59E-05;1.49E-40;2.78E-07
125;2.59E-05;6.70E-41;2.78E-07
126;2.59E-05;5.85E-69;2.78E-07
127;2.59E-05;6.50E-53;2.78E-07
128;2.59E-05;8.49E-54;2.78E-07
129;2.59E-05;3.17E-44;2.78E-07
130;2.59E-05;6.16E-54;2.78E-07
131;2.59E-05;3.17E-44;2.78E-07
132;2.59E-05;1.19E-51;2.78E-07
133;2.59E-05;7.13E-45;2.78E-07
134;2.59E-05;7.47E-57;2.78E-07
135;2.59E-05;1.44E-55;2.78E-07
136;2.59E-05;4.53E-41;2.63E-07
137;2.59E-05;4.35E-51;2.63E-07
138;2.59E-05;1.61E-49;2.63E-07
139;2.59E-05;6.14E-53;2.63E-07
140;2.59E-05;1.07E-61;2.63E-07
141;2.59E-05;3.12E-49;2.63E-07
142;2.59E-05;5.61E-58;2.63E-07
143;2.59E-05;5.79E-49;2.63E-07
144;2.59E-05;6.64E-48;2.63E-07
145;2.59E-05;1.43E-51;2.63E-07
146;2.59E-05;3.72E-42;2.63E-07
147;2.59E-05;4.69E-57;2.63E-07
148;2.59E-05;4.69E-57;2.63E-07
149;2.59E-05;3.37E-44;2.63E-07
150;2.59E-05;4.05E-62;2.63E-07
151;2.59E-05;4.43E-64;2.63E-07
152;2.59E-05;3.17E-67;2.63E-07
153;2.59E-05;2.79E-49;2.63E-07
154;2.59E-05;2.79E-49;2.63E-07
155;2.59E-05;2.25E-65;2.63E-07
156;2.59E-05;8.96E-44;4.91E-07
157;2.59E-05;5.99E-51;4.91E-07
158;2.59E-05;2.26E-64;4.91E-07
159;2.59E-05;9.15E-42;4.91E-07
160;2.59E-05;4.60E-51;4.91E-07
161;2.59E-05;2.30E-65;4.91E-07
162;2.59E-05;5.88E-55;4.91E-07
163;2.59E-05;6.53E-47;4.91E-07
164;2.59E-05;1.95E-50;4.91E-07
165;2.59E-05;1.95E-50;4.91E-07
166;2.59E-05;3.01E-55;4.91E-07
167;2.59E-05;5.41E-66;4.91E-07
168;2.59E-05;4.17E-56;4.91E-07
169;2.59E-05;6.95E-56;4.91E-07
170;2.59E-05;6.91E-65;4.91E-07
171;2.59E-05;3.47E-63;4.91E-07
172;2.59E-05;2.75E-47;4.91E-07
173;2.59E-05;6.43E-47;4.91E-07
174;2.59E-05;1.11E-56;4.91E-07
175;2.59E-05;8.43E-46;4.91E-07
176;2.59E-05;1.12E-36;4.91E-07
177;2.59E-05;8.12E-43;4.91E-07
178;2.59E-05;1.23E-39;4.91E-07
179;2.59E-05;6.92E-48;4.91E-07
180;2.59E-05;8.92E-49;4.91E-07
181;2.59E-05;1.23E-39;4.91E-07
182;2.59E-05;1.08E-57;5.19E-07
183;2.59E-05;1.79E-51;5.19E-07
184;2.59E-05;6.44E-54;5.19E-07
185;2.59E-05;2.53E-76;5.19E-07
186;2.59E-05;4.84E-63;5.19E-07
187;2.59E-05;5.81E-51;5.19E-07
188;2.59E-05;1.86E-74;5.19E-07
189;2.59E-05;1.08E-46;5.19E-07
190;2.59E-05;1.44E-50;5.19E-07
191;2.59E-05;1.89E-38;5.19E-07
192;2.59E-05;1.84E-42;5.19E-07
193;2.59E-05;1.29E-45;5.19E-07
194;2.59E-05;1.12E-66;5.19E-07
195;2.59E-05;1.76E-50;5.19E-07
196;2.59E-05;2.02E-59;5.19E-07
197;2.59E-05;2.02E-59;2.91E-07
198;2.59E-05;1.59E-58;2.91E-07
199;2.59E-05;5.94E-49;2.91E-07
200;2.59E-05;3.54E-62;2.91E-07
201;2.59E-05;2.01E-39;2.91E-07
202;2.59E-05;2.01E-39;2.91E-07
203;2.59E-05;2.08E-50;2.91E-07
204;2.59E-05;2.42E-61;2.91E-07
205;2.59E-05;1.47E-54;2.91E-07
206;2.59E-05;4.13E-58;2.91E-07
207;2.59E-05;6.77E-53;2.91E-07
208;2.59E-05;1.15E-47;2.91E-07
209;2.79E-06;1.15E-47;3.22E-08
210;2.79E-06;1.15E-47;3.22E-08
211;2.79E-06;4.75E-46;3.22E-08
212;2.79E-06;4.62E-45;3.22E-08
213;5.49E-06;4.46E-54;8.71E-08
214;5.49E-06;7.51E-54;8.71E-08
215;5.49E-06;5.69E-45;8.73E-08
216;5.49E-06;6.44E-47;8.73E-08
217;5.49E-06;2.73E-44;8.73E-08
218;5.49E-06;1.60E-45;8.73E-08
219;5.49E-06;2.41E-52;8.73E-08
220;5.49E-06;8.61E-42;8.73E-08
221;5.49E-06;4.81E-72;8.73E-08
222;5.49E-06;1.12E-66;8.73E-08
223;5.49E-06;8.28E-50;8.97E-08
224;5.49E-06;1.94E-56;8.97E-08
225;5.49E-06;8.18E-57;8.97E-08
226;5.49E-06;8.28E-50;8.97E-08
227;5.49E-06;2.06E-41;9.09E-08
228;5.49E-06;4.11E-43;9.09E-08
229;5.49E-06;4.11E-43;9.09E-08
230;5.49E-06;1.08E-49;9.09E-08
231;5.49E-06;1.08E-49;9.09E-08
232;5.49E-06;4.20E-61;9.12E-08
233;5.49E-06;3.88E-47;9.16E-08
234;5.49E-06;5.17E-59;9.16E-08
235;5.49E-06;5.50E-51;9.16E-08
236;5.49E-06;2.12E-40;9.16E-08
237;5.49E-06;1.93E-60;9.16E-08
238;5.49E-06;2.06E-51;9.10E-08
239;5.49E-06;1.98E-49;9.10E-08
240;5.49E-06;6.39E-46;9.04E-08
241;5.49E-06;1.70E-43;9.04E-08
242;5.49E-06;1.70E-43;9.04E-08
