Generation;Max;Min;Mean
139;1.33E-05;2.67E-79;1.39E-07
140;1.33E-05;2.22E-66;1.63E-07
141;1.33E-05;6.31E-53;1.63E-07
142;1.33E-05;1.33E-75;1.63E-07
143;1.33E-05;1.78E-70;1.37E-07
144;2.59E-07;2.88E-57;2.92E-09
145;2.59E-07;1.18E-69;2.62E-09
146;2.59E-07;4.22E-56;2.72E-09
147;2.59E-07;3.71E-65;2.71E-09
148;2.59E-07;7.39E-57;2.71E-09
149;2.59E-07;2.71E-56;2.71E-09
150;5.07E-06;1.09E-63;5.08E-08
151;8.66E-09;1.10E-59;8.96E-11
152;8.66E-09;9.81E-70;8.92E-11
153;2.51E-10;6.84E-70;3.99E-12
154;9.82E-06;1.55E-59;9.82E-08
155;9.82E-06;4.24E-72;9.84E-08
156;9.82E-06;1.11E-66;9.82E-08
157;9.82E-06;2.44E-53;9.86E-08
158;9.82E-06;3.42E-57;1.04E-07
159;9.82E-06;1.27E-61;9.98E-08
160;9.82E-06;1.27E-61;9.98E-08
161;1.32E-07;1.83E-64;1.81E-09
162;3.33E-08;2.99E-62;5.17E-10
163;3.33E-08;8.76E-82;6.20E-10
164;3.33E-08;7.90E-62;4.45E-10
165;1.03E-08;2.21E-53;1.06E-10
166;2.08E-05;2.67E-56;2.08E-07
167;2.08E-05;3.83E-66;2.08E-07
168;2.08E-05;1.16E-57;2.08E-07
169;2.08E-05;1.06E-46;2.08E-07
170;2.08E-05;8.83E-70;2.08E-07
171;1.03E-08;2.63E-58;1.42E-10
172;0.002870345;1.18E-64;2.87E-05
173;0.002870345;9.85E-64;3.30E-05
174;4.26E-04;3.53E-66;4.28E-06
175;4.26E-04;2.25E-55;4.28E-06
176;4.26E-04;5.49E-59;4.28E-06
177;2.26E-07;1.98E-70;2.31E-09
178;1.16E-06;4.22E-66;1.39E-08
179;1.16E-06;1.21E-56;1.16E-08
180;1.16E-06;3.10E-56;1.20E-08
181;1.16E-06;1.51E-60;1.26E-08
182;1.16E-06;5.55E-49;1.26E-08
183;1.16E-06;1.86E-60;1.26E-08
184;1.16E-06;1.30E-73;1.26E-08
185;1.16E-06;8.90E-61;1.22E-08
186;1.16E-06;4.25E-55;1.23E-08
187;6.34E-08;6.76E-55;7.18E-10
188;1.83E-06;5.09E-49;2.01E-08
189;1.83E-06;3.65E-63;2.02E-08
190;1.83E-06;1.36E-57;2.01E-08
191;1.83E-06;3.36E-54;2.01E-08
192;1.83E-06;5.92E-53;2.00E-08
