Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;3.694624138977497E-5;1.072182513169071E-231;3.960565070712515E-7;1.6269859140853562E-15;5.127262474397944E-16;5.390575523037135
1;3.694624138977497E-5;7.767035007492852E-131;4.4473558434083867E-7;6.869114132816785E-16;3.984823052639421E-16;5.602610256194769
2;4.8989023183893364E-5;6.3154886522185616E-58;1.1771375863221898E-6;1.7317087769461746E-15;4.469064850251891E-16;5.77817627480623
3;1.060450404221138E-4;1.9033447709824705E-40;3.225539351893027E-6;2.03731975190593E-15;4.755196805738269E-16;5.717488914727713
4;0.003908920205156009;3.8732830835903276E-25;4.5062983495275566E-5;1.2351110146526879E-15;5.898184553824333E-16;5.889452067638707
5;0.009553864004860888;2.1984931446949503E-12;1.796320810139005E-4;1.3676055106839473E-15;5.304885635610134E-16;5.784944368296158
6;0.009553864004860888;4.525865521751184E-11;2.167350409973116E-4;1.7329173130665838E-15;3.9681621414292925E-16;5.784149240084763
7;0.009553864004860888;3.6976644757522577E-10;3.1114293293217393E-4;1.6361056535830623E-15;5.767368184258547E-16;5.925688764475377
8;0.009553864004860888;6.846284691842007E-10;4.465710837437298E-4;1.827714411918022E-15;6.322064582052104E-16;6.076939103146428
9;0.08967525977369506;1.3903651205263204E-7;0.0016384668089159003;3.0333528026050587E-15;5.836033352121195E-16;5.822115732489497
10;0.2911369631774182;2.486974344137942E-7;0.004953543013888372;3.4297367913328943E-15;5.870290463325562E-16;6.111593961336387
11;0.2911369631774182;3.066725597323252E-8;0.005484184577371828;1.1563408514492051E-15;5.691173675347517E-16;6.008979068384857
12;0.2911369631774182;3.066725597323252E-8;0.0063634139971171875;1.787382179876446E-15;5.675545588630053E-16;6.200966160355038
13;0.2911369631774182;5.789183066337564E-6;0.008023575707165246;2.4321122424357694E-15;7.29589081390207E-16;6.056511864292856
14;0.4905326811289379;1.803434960519175E-5;0.012945180847786316;2.0644444147097174E-15;6.57867569175781E-16;5.704924061882769
15;0.4905326811289379;4.387311249702359E-8;0.014702014469144186;9.649313584045034E-16;5.539387800938964E-16;5.533250146128147
16;0.4905326811289379;3.69154000745132E-5;0.01809761447677142;1.807316917978984E-15;4.858339000246002E-16;5.442816228213794
17;0.2973960751955239;8.840486241934582E-9;0.02059284479057436;1.6629202723043715E-15;6.567098817066758E-16;5.536717664215748
18;0.2973960751955239;1.610204533660218E-5;0.023407137061967474;2.0048943362452806E-15;4.711916692546139E-16;5.399657281708339
19;0.2973960751955239;3.932515653731506E-5;0.024441785551004434;1.5533595297465559E-15;3.8274979028573044E-16;5.26589313789607
20;0.46936591465154326;3.9449928264772763E-4;0.03513414772673878;2.153141528892903E-15;4.055229227812017E-16;4.909370090037821
21;0.46936591465154326;9.45553656970577E-5;0.0390493193995731;2.5014753752707594E-15;2.240658987357856E-16;4.805987064762577
22;0.46936591465154326;4.8161515502541396E-4;0.04659487936863557;1.829336278398254E-15;3.546472950847857E-16;4.793805511031128
23;0.8447859429524468;1.8843225274917455E-4;0.06385667837449246;2.5631960157088967E-15;5.474345258640243E-16;4.660223520847023
24;0.8447859429524468;4.6509658186438075E-5;0.081420991393171;2.5024833331110806E-15;2.9604717451127884E-16;4.602042484060311
25;0.8650688554102621;3.696872728570237E-5;0.09940371653845269;1.770538067213242E-15;3.3238437499064233E-16;4.540114525840582
26;0.8781911440930978;3.696872728570237E-5;0.12152701942123889;1.4615545334013387E-15;6.083623460381404E-16;4.574137778414175
27;0.8781911440930978;0.002744365655208523;0.13428117603473902;2.039399691524639E-15;3.171164095914439E-16;4.484606651762626
28;0.8781911440930978;0.0030912434368886555;0.1551450108821386;1.7361662547432645E-15;1.9764318397412461E-16;4.261259914483562
29;1.0353400664359327;0.005729634870839131;0.18807867815506188;1.9144610636970256E-15;6.074026800374859E-16;3.9958392338291366
30;1.0353400664359327;0.005729634870839131;0.2109362471620512;2.7761898725730516E-15;3.479080582495509E-16;4.144930782940532
31;1.1041043247635842;0.005729634870839131;0.22948766900809608;2.051629142782415E-15;6.478421288036493E-16;4.00259393107438
32;1.1041043247635842;0.009030240689664104;0.23796256937099877;2.1265675048805024E-15;2.648511448961464E-16;3.757958647485618
33;1.1041043247635842;0.0030307258833580488;0.27694113268650766;1.1098987921571125E-15;3.061995193118104E-16;3.7381761472865946
34;1.1589907964689292;0.008624363469580653;0.28896214762106043;1.8395132487112494E-15;4.013042386359998E-16;3.7231239193839896
35;1.4796240333237076;8.28634980753407E-6;0.3073968948458431;1.750371525865042E-15;2.455300031595895E-16;3.622092166029894
36;2.097141033713449;0.0012621764718812457;0.3659848424416303;2.8964799540456886E-15;4.492442534382603E-16;3.4165897679534862
37;2.176011601483064;0.007002098200621155;0.4184413837339453;2.0781563119704733E-15;4.553526614967156E-16;3.4577875274186067
38;2.176011601483064;0.007002098200621155;0.41480871369621963;1.7258969520765354E-15;2.655228114490128E-16;3.3118665270185557
39;2.3563169103888653;0.0016370178024848912;0.4562612817619226;1.949379969042257E-15;3.431851851345669E-16;3.3708131695723655
40;3.1545959921625477;0.03060451000940328;0.5257077063617462;2.321239859189381E-15;3.220535096466061E-16;3.2600622423600005
41;3.1545959921625477;0.00490542875901803;0.529894303276591;1.3712724084778689E-15;2.7461992648513294E-16;3.1331484984583136
42;3.1545959921625477;0.023677677973418278;0.566232304392733;1.342204537724066E-15;3.710167069608164E-16;3.035195315289587
43;3.1545959921625477;0.001681868127651961;0.5634780659696191;2.41209257800473E-15;2.322647530802721E-16;3.0689074158376886
