Generation;Max;Min;Mean;DiversityX;DiversitySigma;TotalDistSigma
0;0.0014331672435689252;3.6278905691189104E-166;1.6679353875859674E-5;5.996889990222318E-16;5.069432606783191E-16;5.17946353359157
1;0.0014331672435689252;1.4893397286506166E-78;3.563149392483931E-5;8.161491023254572E-16;4.3584844723027485E-16;5.433866013467819
2;0.0014331672435689252;1.0314333744193E-56;3.62129762271847E-5;1.3661753331807736E-15;5.431161930662312E-16;5.568519709314986
3;0.0019389704067104428;1.1261415112726875E-29;5.762206205739935E-5;1.5876965612894848E-15;5.23693801204351E-16;5.548698000962474
4;0.010966516210519452;1.1989311758522037E-21;1.999234856253882E-4;2.4727924427699723E-15;4.643391666926928E-16;5.511776580094249
5;0.010966516210519452;4.15914121155813E-15;2.3456907916218756E-4;2.8392585849084178E-15;4.500578354149028E-16;5.5410993904020005
6;0.010966516210519452;5.341541059130623E-11;3.14830719354663E-4;2.0265317235854914E-15;3.1994992241043546E-16;5.21934216165278
7;0.010966516210519452;2.481722676103803E-10;3.484662657653603E-4;1.8239960809173154E-15;3.735225086129023E-16;5.092271285156346
8;0.12383686584110248;3.9568501242977026E-10;0.0025166565467458365;2.168539552597397E-15;5.888587887896232E-16;5.19278836923776
9;0.12383686584110248;2.4577476871809394E-8;0.0032425358427932618;2.4201059030454383E-15;3.652584187152605E-16;5.160922228698041
10;0.12383686584110248;1.3949647127013235E-6;0.004144986248281776;1.993421440104877E-15;4.813458636648449E-16;5.182754458866829
11;0.12383686584110248;3.170482381394119E-7;0.004220130054856891;2.0969582602470562E-15;3.9729660961315956E-16;5.149375113480717
12;0.12383686584110248;1.0807968015413423E-7;0.005674615378115167;1.5839439484473347E-15;3.192819062571103E-16;5.092119317902938
13;0.12383686584110248;4.689421969244322E-7;0.00665315888759026;1.6803628006666131E-15;4.483783309054076E-16;4.787516448153367
14;0.12383686584110248;4.346720536604522E-5;0.00783707025252008;2.999219366316283E-15;4.44034475951425E-16;4.711215951009048
15;0.18133667822989358;5.6633426060875204E-5;0.010540823171947447;2.1958067211203725E-15;4.940334187893692E-16;4.727469877821381
16;0.18133667822989358;1.4505206373600658E-4;0.014469222626917761;3.122772991409583E-15;3.124860281933418E-16;4.582093336929511
17;0.18133667822989358;5.6138025321460474E-5;0.017845840973124617;1.920385471326606E-15;6.596749613658143E-16;4.800434596458262
18;0.3061770228288877;8.284513822694368E-5;0.02412880056876748;2.177932744785752E-15;3.821434027368048E-16;4.833912949095841
19;0.3095018508081606;1.5761997101422743E-6;0.02652007195495024;1.447003547521877E-15;3.6367118954133037E-16;4.690755786823281
20;0.3095018508081606;4.1874148866891713E-5;0.033184334303521024;2.435457863958665E-15;3.9860323681849613E-16;4.634560828827121
21;0.3095018508081606;3.85738323933727E-6;0.03759528375096186;1.925114239452511E-15;6.135282723323844E-16;4.463908065423666
22;0.30968184389634307;2.058083332334359E-5;0.0439358943548944;1.6559600738135802E-15;4.76324434319525E-16;4.401376009951444
23;0.40484049423805013;2.975868640129147E-5;0.053508901272157135;1.3853590496012936E-15;4.756032684929096E-16;4.453367064539838
24;0.40484049423805013;3.141276040098257E-5;0.06138090606730729;2.3570976104144454E-15;2.2341139364327946E-16;4.3258364995706335
25;0.40484049423805013;4.786955162144793E-5;0.06845743613403923;1.6075093960454607E-15;3.372681913478987E-16;4.301645611646365
26;0.49133578486926566;5.595470634491048E-4;0.08398220024885954;1.8587991671958104E-15;4.1125980651615184E-16;4.0805265042180965
27;0.4476808874387017;0.0018157087555821082;0.08703125775514069;2.128531789902029E-15;1.8643675505440403E-16;3.967772290227013
28;0.4476808874387017;2.3689671719891308E-4;0.10924518802673962;2.2801137626289334E-15;2.72430836696729E-16;3.611002247365435
29;1.325447538453839;2.5197268701125365E-4;0.15382369508528554;1.918559187824853E-15;3.8196664093643566E-16;3.4903198557050894
30;1.8926760424344398;0.008493773954170955;0.1860910515296435;1.7603310784019786E-15;3.666047165571129E-16;3.3869896325922966
31;1.8926760424344398;0.00880570947988371;0.20230244105576412;2.2669935888699306E-15;3.8800071024278547E-16;3.3068168433678444
32;1.8926760424344398;3.841688211042712E-4;0.2369387132054797;2.5857494664352768E-15;2.118656465205026E-16;3.0630962416317447
33;1.8926760424344398;0.006252887412070914;0.28891084270510137;2.2284388695966793E-15;3.0617708753506586E-16;2.9906639653560867
34;1.8926760424344398;0.009082769922631673;0.3388064574479282;2.2821281734547025E-15;2.5503387024129245E-16;3.077167001126325
35;2.0211854541244216;0.004927734909929657;0.37291287892633546;2.018179724201055E-15;3.291378290003071E-16;3.0966635739421458
36;2.0211854541244216;0.01407969939531793;0.45098957229021264;2.1801909064922324E-15;5.087116981290108E-16;3.0064741117689042
37;2.0211854541244216;0.011006458642032153;0.4872906365221763;2.002794025138547E-15;1.7781757415135758E-16;2.671846788892448
38;2.5390988505521346;6.504176519666467E-4;0.5867181790677943;1.452357165936219E-15;2.473964705295053E-16;2.4874592335569883
39;2.5390988505521346;0.0447100143803021;0.6243528716534901;1.524115041632369E-15;3.144043685954829E-16;2.4263805459927528
40;2.5390988505521346;0.023282960262373767;0.6472790569491188;2.4658335804847552E-15;1.7527168018687676E-16;2.3070478040392386
41;2.5390988505521346;0.006107525555884952;0.6758092205056576;1.512999375800292E-15;1.471552090580029E-16;2.245252624213346
42;2.5390988505521346;0.10772961602341626;0.7310494548731709;1.785509254468401E-15;3.09800624469842E-16;2.175732943559925
43;3.1557287952929904;0.07360223686046974;0.8120033677135094;2.373839866184393E-15;2.4271236205078683E-16;2.16345744134117
44;3.1557287952929904;0.05861049472538889;0.8693087892274265;1.2961800321985649E-15;2.3351237907311165E-16;2.177709452119569
45;3.1557287952929904;0.08223816196816226;1.017202491743827;1.6361930423286252E-15;1.5032946695271465E-16;1.924747971183823
46;2.5012125485336907;0.027292234985996117;1.032418872448656;2.349712477898099E-15;1.1796975232457148E-16;1.842702849907908
47;3.121921840398556;0.11780520974741951;1.1061256417588345;1.4612138876160308E-15;8.26252998201317E-17;1.83945937298922
48;3.121921840398556;0.05511055111047671;1.1910661792205568;2.012857919671953E-15;1.0188765687345357E-16;1.7183730153643657
49;3.121921840398556;0.09246393711851245;1.305807714994235;2.308057542988493E-15;1.7787415676537275E-16;1.6667027780271337
50;3.246773640968068;0.2729912264141496;1.3969627532435982;2.5278105810923146E-15;1.3018100998298138E-16;1.6277597484267887
51;3.3992105997951114;0.27221840844645195;1.3826359399929526;1.8647824274066157E-15;1.2223940903808564E-16;1.7486436468423225
52;4.072584381336141;0.30906904717479344;1.5495745414843953;1.9413795645287985E-15;1.8647254578015083E-16;1.620481336368165
53;4.072584381336141;0.30906904717479344;1.6400479434267559;1.9439364759287698E-15;8.319442253749855E-17;1.6084555442988708
54;4.072584381336141;0.2899097571089365;1.7330847675766363;2.5401218609565613E-15;1.2112868372491188E-16;1.5541805302796097
55;4.072584381336141;0.42245358771501573;1.8702343422134982;1.2753621457020398E-15;2.095197836545385E-16;1.5572178294853114
56;4.603197454937613;0.17668258596508477;1.9563961673942887;2.2267016707435256E-15;8.675596126715737E-17;1.62657962762638
57;4.603197454937613;0.6266211472400705;2.046196856848148;1.8299372036322115E-15;1.2564252336844558E-16;1.6248112698163557
58;4.603197454937613;0.457812755674375;2.1130929744196636;1.6903615884163182E-15;1.9246381639752037E-16;1.58166678555359
59;4.811258126304688;0.045293513200444446;2.0363449007564127;3.0213334609273027E-15;2.1122334970451893E-16;1.5816578333275002
60;4.811258126304688;0.19350833264772563;2.168470582360131;1.76345857307532E-15;1.1581061736954404E-16;1.517603076126076
61;4.811258126304688;0.4689093725777794;2.3853397514137225;1.7728933835144764E-15;1.4698911362764352E-16;1.5608335802096023
62;4.811258126304688;0.6016732916055447;2.4604532422938385;1.6636017800834975E-15;2.3905684892447814E-16;1.541663576119459
63;4.811258126304688;0.2692330476439882;2.44337378241413;1.7682525459139455E-15;1.16449236108194E-16;1.5606573099647292
