runIndex;gen_nine;maxFit;divX_nine;divSig_nine;totDistSig_nine
1;1068;9.999989088299692;3.0701676121185924e-15;2.833581823668978e-18;0.03590675218984171
2;-1;9.886913245341546;2.4787637962952625e-15;6.838203005747799e-21;7.327435633001152e-05
3;1570;9.99990755535728;1.4943924623243765e-15;3.926051013698496e-18;0.0409232012920324
